desc,feature,title
White Viscose & Lycra Churidar,Key Features Category Mix & Match Color White Fabric Viscose & Lycra,White Viscose & Lycra Churidar
Get your ethnic wardrobe completed with this churidar from the house BIBA that complete your look. Made from cotton.,Key Features Category Mix & Match Color Blue,Coblt Blue Cotton Knitted Churidar
Get your ethnic wardrobe completed with this churidar from the house BIBA that complete your look. Made from cotton.,Key Features Category Mix & Match Color Coral,Deep Coral Cotton Knitted Churidar
"Rust printed cotton flax pants for your summer wardrobe. Cut into regular fit and comes featuring elasticated waist and drawstring, this pair assures you will comfortable all the wearing it.",Key Features Category Mix & Match Color Rust Fabric Cotton Flax,Rust Cotton Flax Pants
Red Cotton Pants,Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Pants
"Blue printed cotton flax pants for your summer wardrobe. Cut into regular fit and comes featuring elasticated waist and drawstring, this pair assures you will comfortable all the wearing it.",Key Features Category Mix & Match Color Blue Fabric Cotton Flax,Blue Cotton Flax Pants
"Upgrade your collection of basics with these white cotton pants by Biba. Crafted in finest cotton and accentuated with cut-out detailing on the edges, this pair is making itself a perfect choice for summers. Take home wear with your favorite top or kurtas.",Key Features Category Mix & Match Color White Fabric Cotton,White Cotton Pants
"Upgrade your collection of basics with these yellow cotton pants by Biba. Crafted from the finest cotton and accentuated with cut-out detailing on the edges, this pair making itself a perfect choice for summers. Take home wear with your favorite top or kurtas.",Key Features Category Mix & Match Color Yellow Fabric Cotton,Yellow Cotton Pants
A pair of solid white pants to give your summer tops a classy match! It is a cotton flax crafted pair with elasticated waist and a small cut on the edges. It's a smart looking pair and will give a nice match to your summers tops and kurtas.,Key Features Category Mix & Match Color White Fabric Cotton Flax,White Cotton Flax Pants
"Upgrade your collection of basics with these black cotton pants by Biba. Crafted from the finest cotton and accentuated with cut-out detailing on the edges, this pair making itself a perfect choice for summers. Take home wear with your favourite top or kurtas.",Key Features Category Mix & Match Color Black Fabric Cotton,Black Cotton Pants Featuring Drawstring
"Upgrade your collection of basics with these peach cotton pants by Biba. Crafted from the finest cotton and accentuated with cut-out detailing on the edges, this pair making itself a perfect choice for summers. Take home wear with your favorite top or kurtas.",Key Features Category Mix & Match Color Peach Fabric Cotton,Peach Cotton Pants
"Upgrade your collection of basics with these red cotton pants by Biba. Crafted from the finest cotton and accentuated with cut-out detailing on the edges, this pair making itself a perfect choice for summers. Take home wear with your favorite top or kurtas.",Key Features Category Mix & Match Color Red Fabric Cotton,Red Cotton Pants
